Customer_ID,Product_Category,TotalSpent
CUST289,Electronics,60
CUST290,Beauty,600
CUST291,Clothing,600
CUST292,Beauty,1200
CUST293,Electronics,90
CUST294,Clothing,90
CUST295,Beauty,900
CUST296,Clothing,1200
CUST297,Electronics,1000
CUST298,Beauty,1200
CUST299,Electronics,1000
CUST300,Electronics,200
CUST301,Clothing,120
CUST302,Beauty,600
CUST303,Electronics,90
CUST304,Electronics,60
CUST305,Beauty,30
CUST306,Electronics,50
CUST307,Electronics,50
CUST308,Beauty,1200
CUST309,Beauty,25
CUST310,Beauty,25
CUST311,Beauty,100
CUST312,Clothing,120
CUST313,Beauty,1500
CUST314,Clothing,120
CUST315,Clothing,60
CUST316,Clothing,50
CUST317,Electronics,90
CUST318,Clothing,25
CUST319,Clothing,500
CUST320,Electronics,1200
CUST321,Electronics,50
CUST322,Electronics,500
CUST323,Beauty,900
CUST324,Electronics,150
CUST325,Electronics,50
CUST326,Clothing,75
CUST327,Electronics,150
CUST328,Beauty,100
CUST329,Electronics,100
CUST330,Beauty,200
CUST331,Electronics,90
CUST332,Electronics,1200
CUST333,Electronics,1200
CUST334,Electronics,900
CUST335,Beauty,120
CUST336,Beauty,150
CUST337,Clothing,500
CUST338,Beauty,100
CUST339,Electronics,50
CUST340,Clothing,1200
CUST341,Clothing,200
CUST342,Clothing,2000
CUST343,Electronics,50
CUST344,Beauty,30
CUST345,Electronics,30
CUST346,Clothing,1000
CUST347,Electronics,25
CUST348,Electronics,600
CUST349,Beauty,50
CUST350,Beauty,75
CUST351,Clothing,90
CUST352,Electronics,1000
CUST353,Electronics,500
CUST354,Beauty,200
CUST355,Electronics,500
CUST356,Electronics,1500
CUST357,Electronics,75
CUST358,Beauty,300
CUST359,Clothing,50
CUST360,Clothing,100
CUST361,Electronics,1200
CUST362,Clothing,25
CUST363,Beauty,25
CUST364,Beauty,500
CUST365,Clothing,300
CUST366,Clothing,100
CUST367,Electronics,50
CUST368,Clothing,1200
CUST369,Electronics,1500
CUST370,Electronics,60
CUST371,Beauty,25
CUST372,Beauty,1500
CUST373,Beauty,600
CUST374,Beauty,75
CUST375,Clothing,50
CUST376,Beauty,30
CUST377,Clothing,200
CUST378,Beauty,300
CUST379,Clothing,25
CUST380,Electronics,600
CUST381,Clothing,100
CUST382,Clothing,1000
CUST383,Beauty,90
CUST384,Clothing,500
CUST385,Electronics,1500
CUST386,Electronics,600
CUST387,Beauty,30
CUST388,Electronics,25
CUST389,Clothing,50
CUST390,Electronics,100
CUST391,Beauty,50
CUST392,Clothing,600
CUST393,Beauty,1000
CUST394,Clothing,500
CUST395,Electronics,1000
CUST396,Beauty,30
CUST397,Beauty,25
CUST398,Clothing,600
CUST399,Beauty,60
CUST400,Clothing,200
CUST401,Clothing,300
CUST402,Clothing,600
CUST403,Clothing,600
CUST404,Electronics,1000
CUST405,Clothing,1200
CUST406,Beauty,100
CUST407,Electronics,900
CUST408,Beauty,500
CUST409,Electronics,900
CUST410,Clothing,100
CUST411,Electronics,200
CUST412,Electronics,2000
CUST413,Beauty,75
CUST414,Beauty,100
CUST415,Clothing,60
CUST416,Electronics,2000
CUST417,Electronics,900
CUST418,Electronics,1000
CUST419,Clothing,90
CUST420,Clothing,2000
CUST421,Clothing,1500
CUST422,Clothing,90
CUST423,Clothing,25
CUST424,Beauty,1200
CUST425,Electronics,120
CUST426,Electronics,150
CUST427,Electronics,25
CUST428,Electronics,200
CUST429,Electronics,50
CUST430,Electronics,900
CUST431,Electronics,1200
CUST432,Electronics,1000
CUST433,Beauty,200
CUST434,Electronics,50
CUST435,Beauty,900
CUST436,Clothing,120
CUST437,Electronics,1200
CUST438,Clothing,30
CUST439,Clothing,75
CUST440,Clothing,600
CUST441,Beauty,1200
CUST442,Clothing,100
CUST443,Clothing,600
CUST444,Clothing,90
CUST445,Electronics,300
CUST446,Electronics,50
CUST447,Beauty,2000
CUST448,Beauty,60
CUST449,Electronics,200
CUST450,Beauty,50
CUST451,Electronics,30
CUST452,Clothing,1500
CUST453,Clothing,1000
CUST454,Beauty,25
CUST455,Electronics,100
CUST456,Electronics,60
CUST457,Beauty,900
CUST458,Electronics,100
CUST459,Clothing,1200
CUST460,Beauty,50
CUST461,Beauty,1000
CUST462,Electronics,1200
CUST463,Beauty,1500
CUST464,Electronics,600
CUST465,Electronics,150
CUST466,Electronics,100
CUST467,Electronics,150
CUST468,Electronics,25
CUST469,Beauty,75
CUST470,Clothing,1000
CUST471,Clothing,150
CUST472,Beauty,900
CUST473,Beauty,50
CUST474,Clothing,1500
CUST475,Clothing,75
CUST476,Clothing,2000
CUST477,Clothing,120
CUST478,Clothing,60
CUST479,Electronics,1200
CUST480,Beauty,2000
CUST481,Electronics,1200
CUST482,Clothing,1200
CUST483,Clothing,30
CUST484,Clothing,1200
CUST485,Electronics,30
CUST486,Electronics,25
CUST487,Clothing,2000
CUST488,Electronics,900
CUST489,Electronics,30
CUST490,Clothing,150
CUST491,Electronics,900
CUST492,Beauty,100
CUST493,Beauty,50
CUST494,Beauty,200
CUST495,Beauty,60
CUST496,Clothing,600
CUST497,Clothing,120
CUST498,Clothing,100
CUST499,Beauty,60
CUST500,Beauty,100
CUST501,Electronics,60
CUST502,Electronics,150
CUST503,Beauty,2000
CUST504,Beauty,150
CUST505,Beauty,50
CUST506,Beauty,1500
CUST507,Electronics,1500
CUST508,Beauty,600
CUST509,Electronics,900
CUST510,Beauty,200
CUST511,Beauty,100
CUST512,Beauty,25
CUST513,Electronics,100
CUST514,Electronics,300
CUST515,Clothing,900
CUST516,Beauty,100
CUST517,Clothing,100
CUST518,Clothing,30
CUST519,Electronics,120
CUST520,Electronics,100
CUST521,Clothing,120
CUST522,Beauty,1500
CUST523,Electronics,300
CUST524,Beauty,1200
CUST525,Beauty,50
CUST526,Clothing,100
CUST527,Clothing,50
CUST528,Clothing,60
CUST529,Clothing,150
CUST530,Electronics,120
CUST531,Electronics,500
CUST532,Clothing,120
CUST533,Electronics,1500
CUST534,Clothing,1000
CUST535,Beauty,90
CUST536,Beauty,120
CUST537,Beauty,500
CUST538,Clothing,150
CUST539,Beauty,500
CUST540,Electronics,900
CUST541,Beauty,500
CUST542,Beauty,50
CUST543,Beauty,600
CUST544,Electronics,25
CUST545,Clothing,50
CUST546,Electronics,200
CUST547,Clothing,2000
CUST548,Clothing,60
CUST549,Beauty,100
CUST550,Clothing,900
CUST551,Electronics,900
CUST552,Electronics,75
CUST553,Clothing,1200
CUST554,Beauty,150
CUST555,Beauty,300
CUST556,Electronics,50
CUST557,Beauty,90
CUST558,Clothing,25
CUST559,Clothing,1200
CUST560,Electronics,50
CUST561,Clothing,2000
CUST562,Electronics,50
CUST563,Clothing,60
CUST564,Electronics,100
CUST565,Beauty,60
CUST566,Clothing,30
CUST567,Clothing,900
CUST568,Electronics,300
CUST569,Electronics,200
CUST570,Clothing,500
CUST571,Electronics,50
CUST572,Clothing,2000
CUST573,Beauty,60
CUST574,Electronics,50
CUST575,Clothing,100
CUST576,Beauty,150
CUST577,Beauty,2000
CUST578,Clothing,120
CUST579,Electronics,30
CUST580,Clothing,1500
CUST581,Beauty,60
CUST582,Clothing,900
CUST583,Electronics,100
CUST584,Beauty,200
CUST585,Clothing,25
CUST586,Electronics,50
CUST587,Beauty,1200
CUST588,Electronics,60
CUST589,Beauty,1000
CUST590,Clothing,900
CUST591,Electronics,100
CUST592,Beauty,2000
CUST593,Electronics,60
CUST594,Electronics,600
CUST595,Clothing,2000
CUST596,Electronics,300
CUST597,Beauty,1200
CUST598,Beauty,120
CUST599,Beauty,100
CUST600,Beauty,1000
CUST601,Clothing,30
CUST602,Electronics,300
CUST603,Clothing,90
CUST604,Electronics,200
CUST605,Electronics,1000
CUST606,Electronics,50
CUST607,Clothing,75
CUST608,Electronics,1500
CUST609,Clothing,100
CUST610,Beauty,600
CUST611,Beauty,1500
CUST612,Electronics,500
CUST613,Clothing,90
CUST614,Beauty,1200
CUST615,Clothing,100
CUST616,Clothing,100
CUST617,Electronics,30
CUST618,Beauty,50
CUST619,Electronics,100
CUST620,Electronics,75
CUST621,Beauty,1000
CUST622,Beauty,75
CUST623,Clothing,150
CUST624,Beauty,900
CUST625,Clothing,300
CUST626,Clothing,2000
CUST627,Clothing,50
CUST628,Beauty,200
CUST629,Electronics,50
CUST630,Clothing,100
CUST631,Electronics,90
CUST632,Electronics,100
CUST633,Beauty,120
CUST634,Electronics,2000
CUST635,Electronics,900
CUST636,Beauty,1500
CUST637,Clothing,600
CUST638,Electronics,500
CUST639,Beauty,200
CUST640,Electronics,120
CUST641,Electronics,300
CUST642,Clothing,100
CUST643,Electronics,90
CUST644,Beauty,75
CUST645,Electronics,120
CUST646,Clothing,90
CUST647,Clothing,1500
CUST648,Beauty,1200
CUST649,Clothing,600
CUST650,Electronics,30
CUST651,Clothing,150
CUST652,Beauty,100
CUST653,Clothing,75
CUST654,Clothing,75
CUST655,Clothing,500
CUST656,Beauty,90
CUST657,Clothing,25
CUST658,Clothing,25
CUST659,Electronics,30
CUST660,Beauty,1000
CUST661,Clothing,100
CUST662,Beauty,1000
CUST663,Clothing,1200
CUST664,Clothing,2000
CUST665,Clothing,50
CUST666,Electronics,150
CUST667,Electronics,500
CUST668,Electronics,150
CUST669,Beauty,1200
CUST670,Beauty,30
CUST671,Electronics,150
CUST672,Beauty,100
CUST673,Clothing,1500
CUST674,Clothing,300
CUST675,Clothing,60
CUST676,Electronics,1500
CUST677,Beauty,1500
CUST678,Electronics,900
CUST679,Beauty,90
CUST680,Clothing,900
CUST681,Electronics,60
CUST682,Beauty,1200
CUST683,Beauty,1000
CUST684,Clothing,1000
CUST685,Electronics,50
CUST686,Electronics,200
CUST687,Electronics,300
CUST688,Clothing,100
CUST689,Electronics,100
CUST690,Clothing,900
CUST691,Clothing,90
CUST692,Clothing,100
CUST693,Beauty,1500
CUST694,Electronics,50
CUST695,Electronics,150
CUST696,Clothing,200
CUST697,Clothing,500
CUST698,Electronics,300
CUST699,Clothing,120
CUST700,Electronics,2000
CUST701,Beauty,60
CUST702,Clothing,600
CUST703,Electronics,100
CUST704,Clothing,90
CUST705,Electronics,50
CUST706,Electronics,100
CUST707,Clothing,500
CUST708,Beauty,900
CUST709,Electronics,1000
CUST710,Electronics,1500
CUST711,Electronics,1500
CUST712,Beauty,50
CUST713,Beauty,75
CUST714,Clothing,500
CUST715,Beauty,100
CUST716,Clothing,1200
CUST717,Clothing,500
CUST718,Beauty,75
CUST719,Clothing,60
CUST720,Beauty,1500
CUST721,Clothing,500
CUST722,Beauty,900
CUST723,Beauty,200
CUST724,Clothing,150
CUST725,Electronics,300
CUST726,Clothing,1200
CUST727,Beauty,900
CUST728,Electronics,150
CUST729,Clothing,1200
CUST730,Clothing,50
CUST731,Clothing,2000
CUST732,Electronics,1000
CUST733,Beauty,30
CUST734,Clothing,30
CUST735,Clothing,2000
CUST736,Clothing,100
CUST737,Clothing,50
CUST738,Clothing,100
CUST739,Beauty,25
CUST740,Beauty,200
CUST741,Clothing,300
CUST742,Electronics,2000
CUST743,Beauty,2000
CUST744,Electronics,25
CUST745,Beauty,100
CUST746,Clothing,90
CUST747,Beauty,30
CUST748,Clothing,150
CUST749,Beauty,30
CUST750,Clothing,75
CUST751,Clothing,50
CUST752,Clothing,100
CUST753,Clothing,30
CUST754,Electronics,100
CUST755,Clothing,75
CUST756,Electronics,1200
CUST757,Electronics,1200
CUST758,Clothing,100
CUST759,Electronics,100
CUST760,Beauty,500
CUST761,Clothing,500
CUST762,Electronics,50
CUST763,Clothing,50
CUST764,Clothing,25
CUST765,Clothing,200
CUST766,Electronics,900
CUST767,Beauty,75
CUST768,Beauty,75
CUST769,Electronics,120
CUST770,Clothing,50
CUST771,Electronics,50
CUST772,Electronics,30
CUST773,Electronics,2000
CUST774,Clothing,50
CUST775,Electronics,100
CUST776,Clothing,90
CUST777,Electronics,150
CUST778,Beauty,100
CUST779,Electronics,1000
CUST780,Electronics,50
CUST781,Beauty,500
CUST782,Clothing,900
CUST783,Clothing,300
CUST784,Electronics,500
CUST785,Beauty,200
CUST786,Clothing,100
CUST787,Electronics,25
CUST788,Beauty,900
CUST789,Clothing,2000
CUST790,Clothing,25
CUST791,Beauty,25
CUST792,Beauty,50
CUST793,Beauty,30
CUST794,Beauty,300
CUST795,Electronics,300
CUST796,Beauty,120
CUST797,Clothing,75
CUST798,Clothing,50
CUST799,Electronics,100
CUST800,Clothing,1200
CUST801,Clothing,200
CUST802,Beauty,30
CUST803,Clothing,100
CUST804,Electronics,30
CUST805,Beauty,1500
CUST806,Beauty,900
CUST807,Electronics,200
CUST808,Beauty,2000
CUST809,Beauty,100
CUST810,Electronics,100
CUST811,Beauty,50
CUST812,Electronics,75
CUST813,Electronics,150
CUST814,Clothing,500
CUST815,Clothing,75
CUST816,Beauty,1000
CUST817,Beauty,200
CUST818,Electronics,500
CUST819,Beauty,100
CUST820,Electronics,200
CUST821,Electronics,300
CUST822,Beauty,150
CUST823,Electronics,100
CUST824,Clothing,120
CUST825,Beauty,25
CUST826,Clothing,300
CUST827,Beauty,900
CUST828,Electronics,1200
CUST829,Beauty,90
CUST830,Clothing,150
CUST831,Electronics,100
CUST832,Beauty,2000
CUST833,Beauty,200
CUST834,Beauty,60
CUST835,Clothing,200
CUST836,Clothing,50
CUST837,Beauty,90
CUST838,Electronics,600
CUST839,Electronics,1200
CUST840,Clothing,50
CUST841,Electronics,100
CUST842,Clothing,600
CUST843,Beauty,1500
CUST844,Clothing,150
CUST845,Clothing,500
CUST846,Beauty,50
CUST847,Electronics,1200
CUST848,Clothing,75
CUST849,Clothing,50
CUST850,Beauty,1000
CUST851,Electronics,50
CUST852,Clothing,300
CUST853,Beauty,1000
CUST854,Clothing,50
CUST855,Beauty,25
CUST856,Electronics,120
CUST857,Electronics,50
CUST858,Electronics,100
CUST859,Electronics,1500
CUST860,Clothing,200
CUST861,Clothing,90
CUST862,Electronics,1200
CUST863,Electronics,50
CUST864,Electronics,500
CUST865,Clothing,300
CUST866,Electronics,50
CUST867,Electronics,500
CUST868,Electronics,300
CUST869,Beauty,1500
CUST870,Electronics,120
CUST871,Beauty,60
CUST872,Beauty,75
CUST873,Electronics,100
CUST874,Beauty,30
CUST875,Electronics,2000
CUST876,Clothing,120
CUST877,Clothing,25
CUST878,Clothing,30
CUST879,Clothing,30
CUST880,Beauty,1000
CUST881,Electronics,300
CUST882,Electronics,50
CUST883,Electronics,500
CUST884,Clothing,60
CUST885,Clothing,120
CUST886,Electronics,900
CUST887,Clothing,100
CUST888,Electronics,100
CUST889,Electronics,50
CUST890,Electronics,50
CUST891,Electronics,900
CUST892,Electronics,50
CUST893,Electronics,50
CUST894,Electronics,30
CUST895,Clothing,120
CUST896,Electronics,50
CUST897,Electronics,100
CUST898,Clothing,90
CUST899,Clothing,600
CUST900,Clothing,60
CUST901,Electronics,30
CUST902,Beauty,50
CUST903,Beauty,200
CUST904,Clothing,500
CUST905,Beauty,300
CUST906,Clothing,50
CUST907,Electronics,25
CUST908,Beauty,1200
CUST909,Electronics,300
CUST910,Beauty,150
CUST911,Electronics,900
CUST912,Beauty,150
CUST913,Electronics,90
CUST914,Electronics,500
CUST915,Beauty,90
CUST916,Electronics,50
CUST917,Electronics,200
CUST918,Electronics,90
CUST919,Beauty,50
CUST920,Beauty,75
CUST921,Electronics,75
CUST922,Electronics,50
CUST923,Beauty,900
CUST924,Beauty,100
CUST925,Electronics,300
CUST926,Electronics,30
CUST927,Electronics,2000
CUST928,Clothing,1200
CUST929,Beauty,75
CUST930,Clothing,200
CUST931,Beauty,120
CUST932,Beauty,100
CUST933,Beauty,30
CUST934,Beauty,500
CUST935,Beauty,50
CUST936,Beauty,200
CUST937,Beauty,500
CUST938,Clothing,200
CUST939,Electronics,300
CUST940,Electronics,30
CUST941,Clothing,50
CUST942,Clothing,1500
CUST943,Clothing,1200
CUST944,Clothing,50
CUST945,Beauty,25
CUST946,Electronics,2000
CUST947,Beauty,300
CUST948,Electronics,75
CUST949,Electronics,50
CUST950,Clothing,900
CUST951,Beauty,100
CUST952,Clothing,25
CUST953,Beauty,90
CUST954,Electronics,900
CUST955,Clothing,25
CUST956,Clothing,1500
CUST957,Electronics,120
CUST958,Electronics,50
CUST959,Electronics,60
CUST960,Clothing,60
CUST961,Beauty,200
CUST962,Clothing,60
CUST963,Beauty,50
CUST964,Clothing,900
CUST965,Clothing,200
CUST966,Electronics,1000
CUST967,Beauty,25
CUST968,Clothing,900
CUST969,Clothing,900
CUST970,Electronics,2000
CUST971,Electronics,200
CUST972,Beauty,100
CUST973,Clothing,50
CUST974,Beauty,30
CUST975,Clothing,200
CUST976,Beauty,600
CUST977,Electronics,75
CUST978,Clothing,150
CUST979,Beauty,25
CUST980,Electronics,75
CUST981,Electronics,60
CUST982,Beauty,90
CUST983,Clothing,300
CUST984,Clothing,500
CUST985,Electronics,50
CUST986,Clothing,1000
CUST987,Clothing,900
CUST988,Clothing,75
CUST989,Electronics,25
CUST990,Beauty,1000
CUST991,Clothing,100
CUST992,Electronics,60
CUST993,Electronics,150
CUST994,Beauty,1000
CUST995,Clothing,30
CUST996,Clothing,50
CUST997,Beauty,90
CUST998,Beauty,100
CUST999,Electronics,150
